# Метеостанция Роттердам / Зестинховен (аэропорт), Нидерланды, WMO_ID=6344, выборка с 19.02.2019 по 19.03.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=6344&lang=ru
#
"Местное время в Роттердаме / Зестинховене (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.03.2019 00:00";"7.2";"757.4";"757.0";"1.3";"80";"Ветер, дующий с запада";"7";"11";"11";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"40%.";"1000-1500";"";"";"18.0";"3.9";"Осадков нет";"1";"";"";"";"";
"13.03.2019 23:00";"7.7";"757.1";"756.7";"1.5";"80";"Ветер, дующий с запада";"7";"10";"10";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"2000-2500";"";"";"17.0";"4.4";"Осадков нет";"1";"";"";"";"";
"13.03.2019 22:00";"7.9";"756.7";"756.3";"1.9";"83";"Ветер, дующий с запада";"7";"";"";"100%.";"Дождь (незамерзающий). ";"";"";"";"";"";"90  или более, но не 100%";"600-1000";"";"";"13.0";"5.2";"0.3";"1";"";"";"";"";
"13.03.2019 21:00";"6.9";"756.1";"755.8";"2.1";"79";"Ветер, дующий с запада";"6";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"600-1000";"";"";"45.0";"3.4";"Осадков нет";"1";"";"";"";"";
"13.03.2019 20:00";"7.4";"755.6";"755.2";"2.4";"74";"Ветер, дующий с запада";"6";"";"";"70 – 80%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"70 – 80%.";"1500-2000";"";"";"30.0";"3.1";"Осадков нет";"1";"";"";"";"";
"13.03.2019 19:00";"7.4";"754.8";"754.4";"2.3";"82";"Ветер, дующий с запада";"6";"";"";"20–30%.";"Морось (незамерзающая) или снежные зерна. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"9.9";"";"20–30%.";"2000-2500";"";"";"16.0";"4.5";"3.0";"12";"";"";"";"";
"13.03.2019 18:00";"8.0";"754.0";"753.6";"2.3";"79";"Ветер, дующий с запада";"9";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"600-1000";"";"";"23.0";"4.6";"Осадков нет";"1";"";"";"";"";
"13.03.2019 17:00";"8.6";"753.2";"752.8";"1.8";"85";"Ветер, дующий с западо-северо-запада";"7";"";"";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"11.0";"6.2";"0.5";"1";"";"";"";"";
"13.03.2019 16:00";"9.2";"752.5";"752.2";"1.4";"78";"Ветер, дующий с запада";"10";"";"";"100%.";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"1000-1500";"";"";"19.0";"5.6";"Осадков нет";"1";"";"";"";"";
"13.03.2019 15:00";"9.9";"751.7";"751.3";"";"77";"Ветер, дующий с запада";"10";"";"";"90  или более, но не 100%";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"90  или более, но не 100%";"1500-2000";"";"";"21.0";"6.0";"";"";"";"";"";"";
"13.03.2019 14:00";"8.9";"751.4";"751.0";"";"78";"Ветер, дующий с запада";"10";"";"";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Дождь.";"Морось.";"";"";"";"60%.";"1000-1500";"";"";"15.0";"5.3";"";"";"";"";"";"";
"13.03.2019 13:00";"8.1";"751.1";"750.7";"";"79";"Ветер, дующий с западо-юго-запада";"11";"";"";"100%.";"Морось и дождь умеренные или сильные. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"90  или более, но не 100%";"1000-1500";"";"";"11.0";"4.6";"2.0";"6";"";"";"";"";
"13.03.2019 12:00";"7.9";"750.8";"750.3";"";"80";"Ветер, дующий с западо-юго-запада";"11";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"";"";"";"";"60%.";"600-1000";"";"";"14.0";"4.6";"";"";"";"";"";"";
"13.03.2019 11:00";"7.0";"750.6";"750.1";"0.0";"86";"Ветер, дующий с западо-юго-запада";"10";"";"";"100%.";"Ливневый дождь или дождь с перерывами умеренный. ";"";"";"";"";"";"100%.";"300-600";"";"";"5.0";"4.8";"0.8";"1";"";"";"";"";
"13.03.2019 10:00";"7.8";"750.7";"750.2";"0.0";"76";"Ветер, дующий с западо-юго-запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"600-1000";"";"";"16.0";"3.7";"Осадков нет";"1";"";"";"";"";
"13.03.2019 09:00";"7.6";"750.7";"750.2";"-0.1";"75";"Ветер, дующий с западо-юго-запада";"12";"";"";"100%.";"Дождь (незамерзающий). ";"";"";"4.3";"";"";"100%.";"600-1000";"";"";"15.0";"3.4";"0.4";"1";"";"";"";"";
"13.03.2019 08:00";"7.7";"750.6";"750.1";"-0.2";"72";"Ветер, дующий с западо-юго-запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"16.0";"2.9";"Осадков нет";"1";"";"";"";"";
"13.03.2019 07:00";"7.4";"750.7";"750.4";"-0.5";"73";"Ветер, дующий с западо-юго-запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"4.3";"";"";"100%.";"600-1000";"";"";"15.0";"2.8";"3.0";"12";"";"";"";"";
"13.03.2019 06:00";"6.9";"750.8";"750.4";"-0.7";"75";"Ветер, дующий с юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"14.0";"2.8";"Осадков нет";"1";"";"";"";"";
"13.03.2019 05:00";"7.2";"750.8";"750.4";"-0.8";"74";"Ветер, дующий с западо-юго-запада";"12";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"600-1000";"";"";"14.0";"2.8";"Осадков нет";"1";"";"";"";"";
"13.03.2019 04:00";"6.8";"751.2";"750.7";"-0.9";"73";"Ветер, дующий с юго-запада";"11";"15";"18";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"15.0";"2.3";"Осадков нет";"1";"";"";"";"";
"13.03.2019 03:00";"6.6";"751.5";"751.0";"-0.6";"76";"Ветер, дующий с западо-юго-запада";"10";"16";"16";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"16.0";"2.6";"Осадков нет";"1";"";"";"";"";
"13.03.2019 02:00";"6.3";"751.6";"751.3";"-0.3";"77";"Ветер, дующий с юго-запада";"11";"15";"17";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"";"";"20.0";"2.5";"Осадков нет";"1";"";"";"";"";
"13.03.2019 01:00";"6.5";"752.1";"751.6";"0.2";"76";"Ветер, дующий с западо-юго-запада";"10";"17";"17";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Дождь.";"Морось.";"";"";"";"";"600-1000";"";"";"25.0";"2.5";"3.0";"6";"";"";"";"";
"13.03.2019 00:00";"6.5";"752.1";"751.6";"0.8";"79";"Ветер, дующий с западо-юго-запада";"9";"14";"15";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"30.0";"3.1";"Осадков нет";"1";"";"";"";"";
"12.03.2019 23:00";"5.9";"751.9";"751.6";"2.1";"81";"Ветер, дующий с западо-юго-запада";"8";"";"13";"100%.";"Облака в целом образовывались или развивались. ";"Дождь.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"40.0";"2.9";"Осадков нет";"1";"";"";"";"";
"12.03.2019 22:00";"5.7";"751.9";"751.4";"3.9";"82";"Ветер, дующий с запада";"8";"";"";"90  или более, но не 100%";"Морось (незамерзающая) или снежные зерна. ";"Дождь.";"";"";"";"";"90  или более, но не 100%";"300-600";"";"";"40.0";"2.8";"Осадков нет";"1";"";"";"";"";
"12.03.2019 21:00";"4.9";"751.3";"750.7";"2.5";"91";"Ветер, дующий с запада";"8";"";"";"100%.";"Морось незамерзающая умеренная. ";"Дождь.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"13.0";"3.5";"0.8";"1";"";"";"";"";
"12.03.2019 20:00";"4.4";"749.8";"749.6";"-0.4";"91";"Ветер, дующий с запада";"8";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Дождь.";"Морось.";"";"";"";"100%.";"300-600";"";"";"11.0";"3.1";"2.0";"1";"";"";"";"";
"12.03.2019 19:00";"7.9";"748.0";"747.5";"-3.9";"83";"Ветер, дующий с юга";"9";"13";"21";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"9.3";"";"";"600-1000";"";"";"9.0";"5.2";"2.0";"12";"";"";"";"";
"12.03.2019 18:00";"8.6";"748.8";"748.3";"-4.6";"74";"Ветер, дующий с юга";"11";"";"";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Морось.";"";"";"";"";"100%.";"600-1000";"";"";"12.0";"4.1";"0.2";"1";"";"";"";"";
"12.03.2019 17:00";"9.1";"750.2";"749.7";"-4.6";"66";"Ветер, дующий с юга";"12";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"35.0";"3.0";"Осадков нет";"1";"";"";"";"";
"12.03.2019 16:00";"8.9";"751.9";"751.3";"-4.2";"66";"Ветер, дующий с юга";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"2.9";"Осадков нет";"1";"";"";"";"";
"12.03.2019 15:00";"9.0";"753.4";"752.8";"-3.8";"60";"Ветер, дующий с юга";"10";"15";"19";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"29.0";"1.6";"";"";"";"";"";"";
"12.03.2019 14:00";"8.9";"754.8";"754.2";"-3.4";"60";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"35.0";"1.4";"Осадков нет";"1";"";"";"";"";
"12.03.2019 13:00";"8.6";"756.1";"755.5";"-3.1";"61";"Ветер, дующий с юго-юго-запада";"12";"17";"18";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"30.0";"1.5";"Следы осадков";"6";"";"";"";"";
"12.03.2019 12:00";"8.4";"757.2";"756.5";"-3.4";"63";"Ветер, дующий с юго-юго-запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"29.0";"1.6";"Осадков нет";"1";"";"";"";"";
"12.03.2019 11:00";"8.3";"758.2";"757.6";"-3.3";"66";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"28.0";"2.2";"Осадков нет";"1";"";"";"";"";
"12.03.2019 10:00";"7.6";"759.2";"758.7";"-3.5";"67";"Ветер, дующий с юго-юго-запада";"11";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"";"";"";"";"";"100%.";"1500-2000";"";"";"27.0";"1.9";"Осадков нет";"1";"";"";"";"";
"12.03.2019 09:00";"7.2";"760.6";"760.0";"-3.3";"67";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"1.0";"";"";"100%.";"1500-2000";"";"";"29.0";"1.5";"Осадков нет";"1";"";"";"";"";
"12.03.2019 08:00";"6.5";"761.5";"760.9";"-3.3";"76";"Ветер, дующий с юга";"9";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2000-2500";"";"";"27.0";"2.5";"Осадков нет";"1";"";"";"";"";
"12.03.2019 07:00";"6.2";"762.7";"762.1";"-3.0";"78";"Ветер, дующий с юга";"8";"12";"13";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"1.0";"";"";"";"1500-2000";"";"";"24.0";"2.6";"0.2";"12";"";"";"";"";
"12.03.2019 06:00";"6.3";"763.9";"763.5";"-2.7";"80";"Ветер, дующий с юга";"8";"";"";"90  или более, но не 100%";"Морось незамерзающая умеренная. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"90  или более, но не 100%";"600-1000";"";"";"15.0";"3.1";"Осадков нет";"1";"";"";"";"";
"12.03.2019 05:00";"6.0";"764.8";"764.3";"-2.6";"85";"Ветер, дующий с юго-юго-запада";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"17.0";"3.6";"Осадков нет";"1";"";"";"";"";
"12.03.2019 04:00";"5.8";"765.7";"765.2";"-2.2";"85";"Ветер, дующий с юго-юго-запада";"5";"8";"8";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2000-2500";"";"";"17.0";"3.4";"Осадков нет";"1";"";"";"";"";
"12.03.2019 03:00";"5.5";"766.6";"766.1";"-1.8";"82";"Ветер, дующий с юго-юго-запада";"5";"8";"8";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2000-2500";"";"";"23.0";"2.6";"Осадков нет";"1";"";"";"";"";
"12.03.2019 02:00";"5.1";"767.4";"766.9";"-1.2";"79";"Ветер, дующий с юго-юго-запада";"5";"6";"7";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"30.0";"1.7";"Осадков нет";"1";"";"";"";"";
"12.03.2019 01:00";"5.1";"767.9";"767.4";"-0.8";"86";"Ветер, дующий с юга";"4";"5";"10";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"24.0";"2.9";"Осадков нет";"6";"";"";"";"";
"12.03.2019 00:00";"4.5";"768.4";"767.9";"-0.5";"85";"Ветер, дующий с юга";"3";"4";"4";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"25.0";"2.1";"Осадков нет";"1";"";"";"";"";
"11.03.2019 23:00";"2.4";"768.6";"768.1";"-0.2";"89";"Ветер, дующий с юго-запада";"2";"3";"4";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"30.0";"0.7";"Осадков нет";"1";"";"";"";"";
"11.03.2019 22:00";"2.7";"768.7";"768.2";"0.1";"84";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"30.0";"0.2";"Осадков нет";"1";"";"";"";"";
"11.03.2019 21:00";"3.1";"768.9";"768.4";"0.9";"83";"Ветер, дующий с запада";"3";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"30.0";"0.4";"Осадков нет";"1";"";"";"";"";
"11.03.2019 20:00";"4.5";"768.8";"768.4";"1.3";"78";"Ветер, дующий с западо-северо-запада";"4";"";"";"50%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"30.0";"1.0";"Осадков нет";"1";"";"";"";"";
"11.03.2019 19:00";"5.6";"768.6";"768.2";"1.6";"72";"Ветер, дующий с западо-северо-запада";"6";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"8.5";"";"";"";"";"";"40.0";"0.9";"0.2";"12";"";"";"";"";
"11.03.2019 18:00";"7.1";"768.0";"767.6";"1.5";"70";"Ветер, дующий с западо-северо-запада";"9";"";"";"90  или более, но не 100%";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"90  или более, но не 100%";"600-1000";"";"";"26.0";"2.0";"Осадков нет";"1";"";"";"";"";
"11.03.2019 17:00";"7.2";"767.5";"767.2";"1.8";"70";"Ветер, дующий с западо-северо-запада";"10";"";"";"60%.";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"60%.";"600-1000";"";"";"30.0";"2.1";"Осадков нет";"1";"";"";"";"";
"11.03.2019 16:00";"6.6";"767.0";"766.6";"2.1";"71";"Ветер, дующий с западо-северо-запада";"11";"";"";"20–30%.";"Осадки ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"20–30%.";"1000-1500";"";"";"25.0";"1.6";"Осадков нет";"1";"";"";"";"";
"11.03.2019 15:00";"6.8";"766.5";"766.0";"2.5";"74";"Ветер, дующий с западо-северо-запада";"11";"";"";"100%.";"Ливень(ливни) или осадки с перерывами. ";"";"";"";"";"";"100%.";"600-1000";"";"";"17.0";"2.5";"Осадков нет";"1";"";"";"";"";
"11.03.2019 14:00";"7.1";"765.7";"765.3";"2.4";"71";"Ветер, дующий с западо-северо-запада";"12";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"600-1000";"";"";"26.0";"2.2";"Осадков нет";"1";"";"";"";"";
"11.03.2019 13:00";"8.1";"764.9";"764.4";"2.2";"73";"Ветер, дующий с западо-северо-запада";"11";"17";"18";"90  или более, но не 100%";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"";"600-1000";"";"";"22.0";"3.4";"0.1";"6";"";"";"";"";
"11.03.2019 12:00";"6.2";"764.0";"763.6";"2.1";"75";"Ветер, дующий с запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"14.0";"2.1";"Осадков нет";"1";"";"";"";"";
"11.03.2019 11:00";"6.7";"763.3";"763.0";"2.1";"76";"Ветер, дующий с запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"24.0";"2.7";"Осадков нет";"1";"";"";"";"";
"11.03.2019 10:00";"5.5";"762.7";"762.4";"2.0";"75";"Ветер, дующий с запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"29.0";"1.3";"Осадков нет";"1";"";"";"";"";
"11.03.2019 09:00";"5.2";"761.9";"761.5";"1.7";"75";"Ветер, дующий с запада";"11";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"3.4";"";"";"100%.";"600-1000";"";"";"26.0";"1.0";"Осадков нет";"1";"";"";"";"";
"11.03.2019 08:00";"4.9";"761.2";"760.8";"1.2";"73";"Ветер, дующий с запада";"9";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"1000-1500";"";"";"23.0";"0.5";"0.1";"1";"";"";"";"";
"11.03.2019 07:00";"4.6";"760.7";"760.2";"0.8";"76";"Ветер, дующий с запада";"10";"17";"18";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"3.4";"";"";"";"600-1000";"";"";"22.0";"0.7";"0.6";"12";"";"";"";"";
"11.03.2019 06:00";"4.6";"760.2";"759.7";"0.1";"74";"Ветер, дующий с запада";"10";"";"";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"19.0";"0.4";"0.1";"1";"";"";"";"";
"11.03.2019 05:00";"3.9";"760.0";"759.5";"-0.1";"79";"Ветер, дующий с запада";"10";"";"";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"300-600";"";"";"19.0";"0.5";"0.1";"1";"";"";"";"";
"11.03.2019 04:00";"5.0";"759.9";"759.4";"0.0";"68";"Ветер, дующий с запада";"9";"";"16";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"90  или более, но не 100%";"600-1000";"";"";"30.0";"-0.4";"Осадков нет";"1";"";"";"";"";
"11.03.2019 03:00";"5.2";"760.1";"759.7";"0.4";"69";"Ветер, дующий с запада";"9";"16";"16";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"0.0";"Осадков нет";"1";"";"";"";"";
"11.03.2019 02:00";"4.7";"760.1";"759.7";"0.5";"70";"Ветер, дующий с запада";"7";"11";"15";"60%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"60%.";"600-1000";"";"";"45.0";"-0.4";"Осадков нет";"1";"";"";"";"";
"11.03.2019 01:00";"5.0";"759.9";"759.4";"0.1";"71";"Ветер, дующий с запада";"8";"";"18";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Гроза";"Ливни или перемещающиеся осадки.";"";"";"";"";"600-1000";"";"";"40.0";"0.2";"0.1";"6";"";"";"";"";
"11.03.2019 00:00";"5.9";"759.7";"759.1";"0.0";"68";"Ветер, дующий с запада";"9";"14";"18";"60%.";"Облака в целом образовывались или развивались. ";"Гроза";"Ливни или перемещающиеся осадки.";"";"";"";"";"600-1000";"";"";"35.0";"0.4";"";"";"";"";"";"";
"10.03.2019 23:00";"6.9";"759.6";"759.1";"0.1";"62";"Ветер, дующий с запада";"10";"15";"15";"60%.";"Осадки ";"Гроза";"Ливни или перемещающиеся осадки.";"";"";"";"";"1000-1500";"";"";"30.0";"0.0";"";"";"";"";"";"";
"10.03.2019 22:00";"6.4";"759.8";"759.3";"1.2";"61";"Ветер, дующий с запада";"7";"11";"18";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Гроза";"Ливни или перемещающиеся осадки.";"";"";"";"";"1500-2000";"";"";"40.0";"-0.7";"";"";"";"";"";"";
"10.03.2019 21:00";"6.2";"759.7";"759.1";"1.5";"72";"Ветер, дующий с запада";"6";"10";"11";"60%.";"Облака в целом образовывались или развивались. ";"Гроза";"Ливни или перемещающиеся осадки.";"";"";"";"";"1000-1500";"";"";"29.0";"1.4";"";"";"";"";"";"";
"10.03.2019 20:00";"4.8";"759.5";"759.0";"2.6";"80";"Ветер, дующий с запада";"5";"10";"18";"60%.";"Гроза (с осадками или без них). ";"Гроза";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"20.0";"1.6";"";"";"";"";"";"";
"10.03.2019 19:00";"4.9";"758.6";"758.1";"2.7";"85";"Ветер, дующий с запада";"4";"6";"25";"90  или более, но не 100%";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"11.3";"";"";"2500 или более, или облаков нет.";"";"";"24.0";"2.6";"8.0";"12";"";"";"";"";
"10.03.2019 18:00";"4.7";"758.2";"757.8";"4.9";"86";"Ветер, дующий с западо-северо-запада";"10";"";"";"20–30%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"20–30%.";"1500-2000";"";"";"35.0";"2.5";"0.6";"1";"";"";"";"";
"10.03.2019 17:00";"5.2";"756.9";"756.5";"8.0";"93";"Ветер, дующий с западо-северо-запада";"7";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"200-300";"";"";"7.0";"4.2";"2.0";"1";"";"";"";"";
"10.03.2019 16:00";"5.1";"755.9";"755.6";"7.3";"94";"Ветер, дующий с западо-северо-запада";"8";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"200-300";"";"";"4.1";"4.2";"0.9";"1";"";"";"";"";
"10.03.2019 15:00";"5.4";"753.3";"753.1";"5.0";"91";"Ветер, дующий с северо-запада";"10";"";"";"100%.";"Морось незамерзающая слабая. ";"Пониженная видимость.";"";"";"";"";"100%.";"300-600";"";"";"9.0";"4.0";"Осадков нет";"1";"";"";"";"";
"10.03.2019 14:00";"9.2";"748.9";"748.7";"0.3";"82";"Ветер, дующий с западо-юго-запада";"16";"";"";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"90  или более, но не 100%";"300-600";"";"";"16.0";"6.3";"Осадков нет";"1";"";"";"";"";
"10.03.2019 13:00";"9.6";"748.6";"748.1";"-1.2";"84";"Ветер, дующий с западо-юго-запада";"14";"21";"21";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"";"300-600";"";"";"11.0";"7.0";"5.0";"6";"";"";"";"";
"10.03.2019 12:00";"10.8";"748.3";"748.0";"-2.7";"88";"Ветер, дующий с западо-юго-запада";"12";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"7.0";"8.9";"0.4";"1";"";"";"";"";
"10.03.2019 11:00";"7.8";"748.6";"748.2";"-3.2";"97";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"200-300";"";"";"11.0";"7.3";"1.0";"1";"";"";"";"";
"10.03.2019 10:00";"5.4";"749.8";"749.2";"-3.2";"97";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Дождь.";"Морось.";"";"";"";"100%.";"100-200";"";"";"5.0";"5.0";"2.0";"1";"";"";"";"";
"10.03.2019 09:00";"5.2";"751.0";"750.5";"-3.3";"99";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";"Морось незамерзающая умеренная. ";"Дождь.";"Морось.";"5.0";"";"";"100%.";"100-200";"";"";"4.7";"5.0";"0.4";"1";"";"";"";"";
"10.03.2019 08:00";"5.1";"751.8";"751.3";"-3.8";"97";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"200-300";"";"";"6.0";"4.7";"1.0";"1";"";"";"";"";
"10.03.2019 07:00";"5.0";"753.0";"752.5";"-3.8";"95";"Ветер, дующий с юго-востока";"2";"3";"";"100%.";"Морось и дождь умеренные или сильные. ";"Ливни или перемещающиеся осадки.";"Морось.";"5.0";"";"";"";"1000-1500";"";"";"8.0";"4.3";"4.0";"12";"";"";"";"";
"10.03.2019 06:00";"5.3";"754.3";"753.8";"-3.9";"93";"Ветер, дующий с юга";"3";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"9.0";"4.2";"2.0";"1";"";"";"";"";
